"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","Time_Gain"
"15-NOV-2017",2017-11-15 08:08:03,"2017-11-15","8H 8M 3S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100210,NA,NA,116515.94921875,NA,NA,482.399993896484,NA,159.199996948242,NA,129.600006103516,NA,384.02001953125,NA,219.310012817383,NA,471.880004882812,NA,315.839996337891,NA,305.5,NA,268.839996337891,NA,362.600006103516,NA,413.070007324219,NA,216.580001831055,NA,148.470001220703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-NOV-2017",2017-11-13 08:48:17,"2017-11-13","8H 48M 17S","Unknown","LSRII","1","Administrator",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,97608.40234375,NA,NA,116727.5234375,NA,NA,508.800018310547,NA,168,NA,140,NA,391.300018310547,NA,226.59001159668,NA,473.290008544922,NA,316.779998779297,NA,306.440002441406,NA,293.279998779297,NA,371.420013427734,NA,414.540008544922,NA,220.5,NA,154.350006103516,NA,63.43,0,21.34,43.61,0.8,0.91,0.94,0.49,NA
"10-NOV-2017",2017-11-10 08:40:12,"2017-11-10","8H 40M 12S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100916.80078125,NA,NA,115849.37109375,NA,NA,501.600006103516,NA,160.800003051758,NA,131.199996948242,NA,381.290008544922,NA,210.210006713867,NA,506.660003662109,NA,333.700012207031,NA,311.139984130859,NA,270.720001220703,NA,350.839996337891,NA,400.330017089844,NA,208.740005493164,NA,141.119995117188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09-NOV-2017",2017-11-09 09:15:21,"2017-11-09","9H 15M 21S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,90242.40234375,NA,NA,108044.3046875,NA,NA,414.399993896484,NA,129.600006103516,NA,96,NA,349.440002441406,NA,193.830001831055,NA,421.589996337891,NA,272.600006103516,NA,258.5,NA,237.81999206543,NA,312.130004882812,NA,329.77001953125,NA,173.949996948242,NA,102.900001525879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08-NOV-2017",2017-11-08 09:09:37,"2017-11-08","9H 9M 37S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100747.6015625,NA,NA,116158.31640625,NA,NA,516,NA,168,NA,139.199996948242,NA,391.300018310547,NA,223.860000610352,NA,503.839996337891,NA,338.399993896484,NA,319.600006103516,NA,282.940002441406,NA,367.010009765625,NA,415.52001953125,NA,216.09001159668,NA,149.205001831055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-NOV-2017",2017-11-07 09:04:50,"2017-11-07","9H 4M 50S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,101262.00390625,NA,NA,116752.546875,NA,NA,504.800018310547,NA,164,NA,136,NA,390.390014648438,NA,219.310012817383,NA,541.440002441406,NA,373.179992675781,NA,342.160003662109,NA,287.639984130859,NA,355.740020751953,NA,405.230010986328,NA,210.210006713867,NA,145.529998779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-NOV-2017",2017-11-06 08:16:57,"2017-11-06","8H 16M 57S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,100103.203125,NA,NA,117532.41796875,NA,NA,570.400024414062,NA,192,NA,160.800003051758,NA,393.120025634766,NA,227.5,NA,611,NA,430.519989013672,NA,377.880004882812,NA,315.839996337891,NA,361.130004882812,NA,436.589996337891,NA,218.050003051758,NA,149.449996948242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03-NOV-2017",2017-11-03 09:08:32,"2017-11-03","9H 8M 32S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,98821.6015625,NA,NA,116291.1796875,NA,NA,544.799987792969,NA,183.199996948242,NA,152.800003051758,NA,385.839996337891,NA,219.310012817383,NA,600.659973144531,NA,416.420013427734,NA,365.660003662109,NA,307.380004882812,NA,357.700012207031,NA,428.75,NA,212.660003662109,NA,145.529998779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02-NOV-2017",2017-11-02 09:16:58,"2017-11-02","9H 16M 58S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,98015.203125,NA,NA,114164.9609375,NA,NA,488,NA,156.800003051758,NA,127.200004577637,NA,379.470001220703,NA,211.120010375977,NA,557.419982910156,NA,390.100006103516,NA,346.859985351562,NA,285.760009765625,NA,348.880004882812,NA,389.550018310547,NA,203.350006103516,NA,137.690002441406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-NOV-2017",2017-11-01 10:11:32,"2017-11-01","10H 11M 32S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,19685.2001953125,NA,NA,18492.111328125,NA,NA,35.2000007629395,NA,13.6000003814697,NA,20,NA,35.4900016784668,NA,30.0300006866455,NA,78.9599990844727,NA,26.3199996948242,NA,47.939998626709,NA,36.6599998474121,NA,66.1500015258789,NA,74.9700012207031,NA,25.9700012207031,NA,19.1100006103516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31-OCT-2017",2017-10-31 09:46:46,"2017-10-31","9H 46M 46S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,34253.201171875,NA,NA,59598.6328125,NA,NA,128,NA,44,NA,56,NA,80.0800018310547,NA,79.1700057983398,NA,167.31999206543,NA,59.2200012207031,NA,118.440002441406,NA,94.9400024414062,NA,157.290008544922,NA,187.669998168945,NA,63.2100028991699,NA,49.4900016784668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30-OCT-2017",2017-10-30 08:47:49,"2017-10-30","8H 47M 49S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,79080,NA,NA,115063.58984375,NA,NA,524.799987792969,NA,156.800003051758,NA,120,NA,350.350006103516,NA,179.725006103516,NA,526.400024414062,NA,340.279998779297,NA,300.799987792969,NA,226.539993286133,NA,346.429992675781,NA,404.25,NA,177.870010375977,NA,113.680000305176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27-OCT-2017",2017-10-27 14:04:33,"2017-10-27","14H 4M 33S","Unknown","LSRII","1","Administrator",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,104164.40234375,NA,NA,116458.6171875,NA,NA,549.200012207031,NA,187.199996948242,NA,156,NA,379.470001220703,NA,211.120010375977,NA,517,NA,345.450012207031,NA,306.440002441406,NA,273.070007324219,NA,340.550018310547,NA,412.335006713867,NA,201.880004882812,NA,141.120002746582,NA,63.43,0,21.34,42.6,0.8,0.91,0.94,0.49,NA
"26-OCT-2017",2017-10-26 08:11:32,"2017-10-26","8H 11M 32S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,92953.6015625,NA,NA,115919.44140625,NA,NA,544,NA,168,NA,134.400009155273,NA,364.910003662109,NA,185.639999389648,NA,450.260009765625,NA,294.220001220703,NA,258.5,NA,219.490005493164,NA,341.775009155273,NA,396.899993896484,NA,183.75,NA,121.520004272461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25-OCT-2017",2017-10-25 08:45:07,"2017-10-25","8H 45M 7S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,94438.80078125,NA,NA,118177.609375,NA,NA,536,NA,166.400009155273,NA,129.600006103516,NA,357.630004882812,NA,175.630004882812,NA,523.580017089844,NA,357.200012207031,NA,291.399993896484,NA,226.069999694824,NA,316.050018310547,NA,369.460021972656,NA,176.889999389648,NA,116.130004882812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24-OCT-2017",2017-10-24 09:07:56,"2017-10-24","9H 7M 56S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,99333.203125,NA,NA,116259.328125,NA,NA,528.799987792969,NA,170.400009155273,NA,136,NA,368.550018310547,NA,192.919998168945,NA,585.619995117188,NA,407.019989013672,NA,340.279998779297,NA,265.079986572266,NA,330.75,NA,386.610015869141,NA,187.18000793457,NA,126.42000579834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-OCT-2017",2017-10-23 12:05:14,"2017-10-23","12H 5M 14S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,103497.6015625,NA,NA,116770.29296875,NA,NA,553.600036621094,NA,188.800003051758,NA,153.600006103516,NA,393.120025634766,NA,219.765007019043,NA,604.419982910156,NA,430.519989013672,NA,365.660003662109,NA,313.959991455078,NA,343.490005493164,NA,419.685012817383,NA,199.919998168945,NA,135.240005493164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-OCT-2017",2017-10-19 15:10:08,"2017-10-19","15H 10M 8S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,101654.40234375,NA,NA,117163.8671875,NA,NA,554.400024414062,NA,196,NA,164.800003051758,NA,389.480010986328,NA,223.860000610352,NA,569.640014648438,NA,402.320007324219,NA,350.619995117188,NA,309.260009765625,NA,365.050018310547,NA,438.059997558594,NA,208.25,NA,146.510009765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
